id,category,source_type,title,author,source_context,specific_section_hint,priority,want_status,source_status,extract_status,publish_status,approved_extract_count,notes
we-shall-fight-on-the-beaches,famous_speeches,speech,We Shall Fight on the Beaches,Winston Churchill,"House of Commons speech, June 4 1940",iconic closing section,high,wanted,sourced,approved,published,1,
family-man-airport-monologue,movie_monologues,movie_monologue,The Family Man airport monologue,Nicolas Cage / Jack Campbell,"final airport scene, trying to stop her from boarding the plane",the speech Jack gives Kate at the airport to persuade her not to leave,high,wanted,sourced,approved,published,1,
man-in-the-arena,famous_speeches,speech,The Man in the Arena,Theodore Roosevelt,"Citizenship in a Republic speech, critic not the man in the arena passage",the passage beginning It is not the critic who counts,high,wanted,sourced,approved,published,1,
good-will-hunting-park-bench-speech,movie_monologues,movie_monologue,Good Will Hunting park bench speech,Robin Williams / Sean Maguire,Sean bench speech to Will about lived experience love and loss,Sean's park bench monologue beginning You're just a kid,high,wanted,sourced,approved,published,1,
network-mad-as-hell-speech,movie_monologues,movie_monologue,Network mad as hell speech,Peter Finch / Howard Beale,on-air rant telling people to get up and shout they are mad as hell,Howard Beale's speech ending I'm as mad as hell and I'm not going to take this anymore,high,wanted,sourced,approved,published,1,
great-dictator-final-speech,movie_monologues,movie_monologue,The Great Dictator final speech,Charlie Chaplin,closing speech calling for humanity freedom kindness and democracy,final speech at the end of the film,high,wanted,sourced,approved,published,1,
any-given-sunday-inches-speech,movie_monologues,movie_monologue,Any Given Sunday inches speech,Al Pacino / Coach Tony D’Amato,locker-room speech about life and football being a game of inches,the inches speech before the game,high,wanted,sourced,approved,published,1,
before-sunrise-train-speech,movie_monologues,movie_monologue,Before Sunrise train speech,Ethan Hawke / Jesse,Jesse asking Céline to get off the train with him in Vienna,train platform speech asking her to get off the train,high,wanted,sourced,approved,published,1,
rocky-balboa-father-to-son-speech,movie_monologues,movie_monologue,Rocky Balboa father-to-son speech,Sylvester Stallone / Rocky Balboa,speech to his son about life hitting hard and moving forward,the it ain't about how hard you hit speech,high,wanted,sourced,approved,published,1,
invictus,poetry,poem,Invictus,William Ernest Henley,full poem,,high,wanted,sourced,approved,published,1,
aint-i-a-woman,famous_speeches,speech,Ain't I a Woman?,Sojourner Truth,most famous and widely reproduced version of the speech,,high,wanted,sourced,approved,published,1,
friends-romans-countrymen,famous_speeches,play_speech,"Friends, Romans, countrymen",William Shakespeare / Mark Antony,Julius Caesar Act 3 Scene 2 opening funeral speech,,medium,wanted,sourced,approved,published,1,
tomorrow-and-tomorrow-and-tomorrow,famous_speeches,play_speech,"Tomorrow, and tomorrow, and tomorrow",William Shakespeare / Macbeth,Macbeth Act 5 Scene 5 soliloquy,,medium,wanted,sourced,approved,published,1,
casablanca-hill-of-beans-speech,movie_monologues,movie_monologue,Casablanca hill of beans speech,Humphrey Bogart / Rick Blaine,final airport speech to Ilsa about going with Victor,the problems of three little people do not amount to a hill of beans,high,wanted,sourced,approved,published,1,
scent-of-a-woman-ferrari-speech,movie_monologues,movie_monologue,Scent of a Woman Ferrari speech,Al Pacino / Frank Slade,Frank Slade talking to Charlie about women and Ferrari,the Ferrari speech,medium,wanted,sourced,approved,published,1,
desiderata,poetry,poem,Desiderata,Max Ehrmann,full prose poem,,medium,wanted,sourced,approved,published,1,
do-not-go-gentle-into-that-good-night,poetry,poem,Do Not Go Gentle into That Good Night,Dylan Thomas,full poem,,high,wanted,sourced,approved,published,1,
all-the-worlds-a-stage,famous_speeches,play_speech,All the World's a Stage,William Shakespeare / Jaques,As You Like It Act 2 Scene 7 speech,,medium,wanted,sourced,approved,published,1,
what-a-piece-of-work-is-man,famous_speeches,play_speech,What a piece of work is a man,William Shakespeare / Hamlet,Hamlet Act 2 Scene 2 speech,,medium,wanted,sourced,approved,published,1,
